id,neighbourhood_cleansed,latitude,longitude,calculated_host_listings_count,price,property_type,room_type,availability_365,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,accommodates,bedrooms,beds,minimum_nights,instant_bookable,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_location,reviews_per_month,Standardization_Category,Standardization_Score,Neighborhood_Category,Neighborhood_Impact
2871271,Élysée,48.87933,2.31491,1,,2,3,96,4,1.0,1,1,4,1.0,1.0,3,1,299,4.62,4.49,4.84,4.82,2.2,,,,
2785692,Élysée,48.88045,2.31161,1,,1,2,176,0,1.0,0,1,1,1.0,1.0,3,0,15,4.8,4.87,4.93,5.0,0.2,,,,
2892435,Élysée,48.87046,2.31129,2,,2,3,299,4,1.0,1,1,2,1.0,1.0,2,0,527,4.85,4.79,4.87,4.97,3.82,,,,
3015969,Élysée,48.873,2.30406,1,,1,2,0,0,1.0,0,1,2,1.0,1.0,1,0,0,4.82,4.81,4.93,4.97,0.0,,,,
3126320,Élysée,48.87983,2.31621,1,,2,3,53,0,1.0,0,1,5,3.0,1.0,5,0,20,4.9,4.75,5.0,5.0,0.15,,,,
3199889,Élysée,48.8741,2.30664,2,,2,3,0,0,1.0,0,0,5,1.0,1.0,365,0,0,4.82,4.81,4.93,4.97,0.0,,,,
3139351,Élysée,48.8706,2.30615,1,,2,3,0,0,1.0,0,0,2,1.0,1.0,365,0,0,4.82,4.81,4.93,4.97,0.0,,,,
22158,Élysée,48.87039,2.32273,1,,1,2,76,3,1.0,1,1,2,1.0,1.0,2,0,120,4.94,4.87,4.98,4.97,0.77,,,,
48592,Élysée,48.87341,2.30778,102,,2,3,300,2,0.53,0,1,5,1.0,1.0,3,1,43,4.35,4.21,4.33,4.86,0.29,,,,
55239,Élysée,48.8726,2.31477,2,,2,3,336,3,1.0,0,1,4,1.0,1.0,1,0,22,5.0,4.95,4.95,5.0,0.14,,,,
171159,Élysée,48.87573,2.32662,1,,2,3,325,4,1.0,0,1,2,1.0,1.0,3,1,506,4.31,4.18,4.83,4.65,2.95,,,,
348747,Élysée,48.883,2.3263,1,,2,3,120,4,1.0,1,1,4,3.0,1.0,2,1,218,4.88,4.84,4.92,4.87,1.55,,,,
243040,Élysée,48.87114,2.32606,2,,2,3,0,0,1.0,0,1,2,1.0,1.0,365,0,52,4.45,4.41,4.51,4.9,0.31,,,,
108591,Élysée,48.8742,2.297,2,,2,3,286,4,1.0,1,1,5,2.0,1.0,30,0,34,5.0,4.94,5.0,4.97,0.29,,,,
270067,Élysée,48.87241,2.31465,1,,2,3,192,4,1.0,1,1,8,3.0,1.0,3,0,53,4.98,5.0,4.98,4.96,0.35,,,,
536347,Élysée,48.8702,2.32368,1,,2,3,331,3,1.0,1,0,2,1.0,1.0,30,0,40,4.72,4.59,4.95,4.95,0.25,,,,
763958,Élysée,48.87588,2.32375,1,,1,2,204,4,1.0,0,1,2,1.0,1.0,2,0,208,4.84,4.94,4.9,4.92,1.37,,,,
893684,Élysée,48.87355,2.31135,1,,2,3,11,2,1.0,1,1,2,1.0,1.0,3,0,147,4.96,4.98,4.98,4.9,0.97,,,,
845652,Élysée,48.87458,2.32298,1,,2,3,0,0,1.0,0,1,2,1.0,1.0,365,0,3,5.0,4.33,5.0,4.67,0.02,,,,
782257,Élysée,48.87326,2.30673,2,,2,3,0,0,1.0,0,1,2,1.0,1.0,7,0,58,4.43,4.53,4.63,4.78,0.42,,,,
1005600,Élysée,48.87467,2.31912,1,,2,3,127,1,0.0,0,1,3,1.0,1.0,1,0,175,4.78,4.9,4.88,4.88,1.18,,,,
886735,Élysée,48.87436,2.30786,1,,2,3,88,0,1.0,0,1,4,1.0,1.0,365,0,18,4.28,4.33,4.61,4.89,0.12,,,,
1036684,Élysée,48.86954,2.30992,1,,2,3,0,0,1.0,0,1,4,1.0,1.0,2,0,24,4.5,4.26,4.79,4.92,0.18,,,,
1057854,Élysée,48.87268,2.32287,1,,2,3,55,1,0.0,0,1,5,3.0,1.0,3,0,67,4.67,4.64,4.79,4.86,0.48,,,,
1218817,Élysée,48.88122,2.32534,1,,2,3,0,0,1.0,0,1,4,2.0,1.0,5,0,1,5.0,5.0,5.0,5.0,0.02,,,,
1137844,Élysée,48.87223,2.3125,1,,2,3,362,0,1.0,0,1,1,1.0,1.0,3,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1301263,Élysée,48.87291,2.32183,1,,2,3,0,0,1.0,0,1,4,2.0,1.0,3,0,5,5.0,4.8,5.0,5.0,0.04,,,,
1192253,Élysée,48.88141,2.32404,1,,2,3,285,0,1.0,0,1,2,1.0,1.0,30,0,12,4.75,4.92,4.75,4.92,0.08,,,,
1329018,Élysée,48.87468,2.3061,3,,1,2,199,4,1.0,1,1,1,1.0,1.0,2,0,277,4.88,4.75,4.97,4.97,1.91,,,,
1336131,Élysée,48.87815,2.31613,1,,2,3,76,0,1.0,0,1,4,2.0,1.0,4,1,14,4.36,4.14,4.64,4.93,0.16,,,,
1353338,Élysée,48.88251,2.32664,1,,2,3,358,0,1.0,0,1,4,2.0,1.0,365,0,3,4.33,4.0,5.0,4.67,0.03,,,,
1359986,Élysée,48.87286,2.31624,2,,2,3,345,4,1.0,1,1,2,1.0,1.0,4,0,79,4.88,4.79,4.96,4.94,0.54,,,,
1363359,Élysée,48.8738,2.29991,1,,2,3,0,0,1.0,0,1,6,2.0,1.0,365,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1550642,Élysée,48.86727,2.30873,1,,2,3,0,0,1.0,0,0,2,1.0,1.0,365,0,34,4.34,4.0,4.78,4.91,0.23,,,,
1670507,Élysée,48.86441265893959,2.316204610620112,1,,0,3,325,3,1.0,1,0,2,1.0,1.0,2,0,18,4.83,4.72,5.0,5.0,1.14,,,,
1448260,Élysée,48.88122647195682,2.318588289927572,1,,2,3,315,2,1.0,0,1,2,1.0,1.0,2,0,8,4.88,5.0,5.0,4.75,0.5,,,,
1785028,Élysée,48.86759948730469,2.302125930786133,1,,2,3,334,3,1.0,1,1,2,1.0,1.0,4,0,142,4.65,4.81,4.75,4.92,0.98,,,,
1983291,Élysée,48.88172,2.3238,1,,2,3,0,0,1.0,0,1,4,1.0,1.0,3,0,37,4.7,4.53,4.94,4.83,0.28,,,,
